Wijken	bevolkingsdichtheid (officieel per km2)|, 2024
Binnenstad	, 7228
Bloemekenswijk	, 5791
Brugse Poort - Rooigem	, 7758
Dampoort	, 8584
Drongen	513
Elisabethbegijnhof - Prinsenhof - Papegaai - Sint-Michiels	, 8596
Gentbrugge	, 1716
Gentse Kanaaldorpen en -zone	, 65
Ledeberg	, 6305
Macharius - Heirnis	, 9213
Mariakerke	, 1754
Moscou - Vogelhoek	, 4310
Muide - Meulestede - Afrikalaan	, 4461
Nieuw Gent - UZ	, 1912
Oostakker	, 1373
Oud Gentbrugge	, 6365
Rabot - Blaisantvest	, 9552
Sint-Amandsberg	, 3136
Sint-Denijs-Westrem - Afsnee	, 750
Sluizeken - Tolhuis - Ham	, 9417
Stationsbuurt-Noord	, 5659
Stationsbuurt-Zuid	, 3042
Watersportbaan - Ekkergem	, 2054
Wondelgem	, 1941
Zwijnaarde	, 649
